Comment,Designator,Footprint,LCSC
Conn_01x10_Socket,J16,PinSocket_1x10_P2.00mm_Vertical,
Conn_01x10_Socket,J15,PinSocket_1x10_P2.00mm_Vertical,
Conn_01x04_Socket,J14,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
Conn_01x10_Socket,J6,PinSocket_1x10_P2.00mm_Vertical,
Conn_01x10_Socket,J10,PinSocket_1x10_P2.00mm_Vertical,
Conn_01x10_Socket,J5,PinSocket_1x10_P2.00mm_Vertical,
49.9,R8,R_0603_1608Metric,
Conn_01x10_Socket,J2,PinSocket_1x10_P2.00mm_Vertical,
10uF,C1,CP_Elec_4x5.4,
180,R6,R_0603_1608Metric,
Conn_01x10_Socket,J9,PinSocket_1x10_P2.00mm_Vertical,
Conn_01x10_Socket,J3,PinSocket_1x10_P2.00mm_Vertical,
USB_A,J8,USB_A_Stewart_SS-52100-001_Horizontal,
49.9,R9,R_0603_1608Metric,
USB_A,J4,USB_A_Stewart_SS-52100-001_Horizontal,
USB_A,J7,USB_A_Stewart_SS-52100-001_Horizontal,
Conn_01x03_Socket,J11,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,
RJ45_LED,J1,RJ45_Amphenol_RJHSE538X,
180,R7,R_0603_1608Metric,
Conn_01x10_Socket,J13,PinSocket_1x10_P2.00mm_Vertical,
Conn_01x10_Socket,J12,PinSocket_1x10_P2.00mm_Vertical,
10nF,C10,C_0603_1608Metric,
100nF,C5,C_0603_1608Metric,
49.9,R5,R_0603_1608Metric,
100k,R1,R_0603_1608Metric,
10uH,L1,L_0201_0603Metric_Pad0.64x0.40mm_HandSolder,
10k,R2,R_0603_1608Metric,
25MHz,Y1,Crystal_SMD_MicroCrystal_CC8V-T1A-2Pin_2.0x1.2mm,
2k,R3,R_0603_1608Metric,
49.9,R4,R_0603_1608Metric,
100nF,C8,C_0603_1608Metric,
100nF,C6,C_0603_1608Metric,
100nF,C4,C_0603_1608Metric,
100nF,C9,C_0603_1608Metric,
18pF,C3,C_0603_1608Metric,
100nF,C7,C_0603_1608Metric,
ENC28J60x-SS,U1,SSOP-28_5.3x10.2mm_P0.65mm,
18pF,C2,C_0603_1608Metric,
