Comment,Designator,Footprint,LCSC
Conn_01x04_Socket,J11,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
Conn_01x10_Socket,J13,PinSocket_1x10_P2.00mm_Vertical,
Conn_01x10_Socket,J12,PinSocket_1x10_P2.00mm_Vertical,
Conn_01x10_Socket,J10,PinSocket_1x10_P2.00mm_Vertical,
Conn_01x10_Socket,J9,PinSocket_1x10_P2.00mm_Vertical,
Conn_01x03_Socket,J8,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,
Conn_01x10_Socket,J7,PinSocket_1x10_P2.00mm_Vertical,
Conn_01x10_Socket,J6,PinSocket_1x10_P2.00mm_Vertical,
USB_A,J5,USB_A_Stewart_SS-52100-001_Horizontal,
USB_A,J4,USB_A_Stewart_SS-52100-001_Horizontal,
Conn_01x10_Socket,J3,PinSocket_1x10_P2.00mm_Vertical,
Conn_01x10_Socket,J2,PinSocket_1x10_P2.00mm_Vertical,
USB_A,J1,USB_A_Stewart_SS-52100-001_Horizontal,
