Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,CP_Elec_4x5.4,108.310249,-61.77,-90.0,top
C2,18pF,C_0603_1608Metric,105.137285,-62.5925,270.0,bottom
C3,18pF,C_0603_1608Metric,105.140249,-59.395,90.0,bottom
C4,100nF,C_0603_1608Metric,107.391785,-64.88,180.0,bottom
C5,100nF,C_0603_1608Metric,110.977285,-77.73,270.0,bottom
C6,100nF,C_0603_1608Metric,112.877285,-77.73,270.0,bottom
C7,100nF,C_0603_1608Metric,114.777285,-77.73,270.0,bottom
C8,100nF,C_0603_1608Metric,116.677285,-77.73,270.0,bottom
C9,100nF,C_0603_1608Metric,107.402285,-70.2,0.0,bottom
C10,10nF,C_0603_1608Metric,120.189785,-62.07,0.0,top
J1,RJ45_LED,RJ45_Amphenol_RJHSE538X,113.772249,-75.105,180.0,top
J2,Conn_01x10_Socket,PinSocket_1x10_P2.00mm_Vertical,102.829285,-68.195,0.0,top
J3,Conn_01x10_Socket,PinSocket_1x10_P2.00mm_Vertical,124.830249,-68.2,0.0,top
J4,USB_A,USB_A_Stewart_SS-52100-001_Horizontal,79.8102,-74.6008,0.0,top
J5,Conn_01x10_Socket,PinSocket_1x10_P2.00mm_Vertical,68.78,-68.19,0.0,top
J6,Conn_01x10_Socket,PinSocket_1x10_P2.00mm_Vertical,90.76,-68.2,0.0,top
J7,USB_A,USB_A_Stewart_SS-52100-001_Horizontal,147.906493,-60.498001,180.0,top
J8,USB_A,USB_A_Stewart_SS-52100-001_Horizontal,147.906493,-75.858801,0.0,top
J9,Conn_01x10_Socket,PinSocket_1x10_P2.00mm_Vertical,136.846493,-68.188801,0.0,top
J10,Conn_01x10_Socket,PinSocket_1x10_P2.00mm_Vertical,158.826493,-68.198801,0.0,top
J11,Conn_01x03_Socket,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,79.77,-45.995,0.0,top
J12,Conn_01x10_Socket,PinSocket_1x10_P2.00mm_Vertical,68.79,-42.43,0.0,top
J13,Conn_01x10_Socket,PinSocket_1x10_P2.00mm_Vertical,90.78,-42.43,0.0,top
J14,Conn_01x04_Socket,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,113.85,-45.915,0.0,top
J15,Conn_01x10_Socket,PinSocket_1x10_P2.00mm_Vertical,102.83,-42.43,0.0,top
J16,Conn_01x10_Socket,PinSocket_1x10_P2.00mm_Vertical,124.8,-42.42,0.0,top
L1,10uH,L_0201_0603Metric_Pad0.64x0.40mm_HandSolder,108.487285,-72.23,0.0,bottom
R1,100k,R_0603_1608Metric,120.304285,-62.97,0.0,bottom
R2,10k,R_0603_1608Metric,120.304285,-64.495,0.0,bottom
R3,2k,R_0603_1608Metric,120.304285,-66.145,180.0,bottom
R4,49.9,R_0603_1608Metric,120.307285,-70.2,180.0,bottom
R5,49.9,R_0603_1608Metric,120.297285,-71.85,0.0,bottom
R6,180,R_0603_1608Metric,120.175249,-60.1,0.0,top
R7,180,R_0603_1608Metric,120.175249,-58.5,0.0,top
R8,49.9,R_0603_1608Metric,120.165249,-65.33,0.0,top
R9,49.9,R_0603_1608Metric,120.167285,-63.75,0.0,top
U1,ENC28J60x-SS,SSOP-28_5.3x10.2mm_P0.65mm,113.830249,-62.095,0.0,bottom
Y1,25MHz,Crystal_SMD_MicroCrystal_CC8V-T1A-2Pin_2.0x1.2mm,107.367285,-59.38,90.0,bottom
